lexemeCurrentNode        lineno   tokenName                valueIfNumber    parentNodeSymbol         isLeaf   NodeSymbol              
~~~~                     45       ~~~~                     ~~~~             STMT                     no       ASSIGNMENT_STMT         
<---                     45       TK_ASSIGNOP              ~~~~             ASSIGNMENT_STMT          yes      TK_ASSIGNOP             
10                       45       TK_NUM                   10               VAR                      yes      TK_NUM                  
~~~~                     45       ~~~~                     ~~~~             FACTOR                   no       VAR                     
~~~~                     45       ~~~~                     ~~~~             TERM                     no       FACTOR                  
~~~~                     45       ~~~~                     ~~~~             ARITHMETIC_EXPRESSION    no       TERM                    
~~~~                     45       ~~~~                     ~~~~             ASSIGNMENT_STMT          no       ARITHMETIC_EXPRESSION   
;                        45       TK_SEM                   ~~~~             ASSIGNMENT_STMT          yes      TK_SEM                  
~~~~                     45       ~~~~                     ~~~~             OTHER_STMTS              no       STMT                    
~~~~                     47       ~~~~                     ~~~~             STMTS                    no       OTHER_STMTS             
d3cd                     48       TK_ID                    ~~~~             SINGLE_OR_REC_ID         yes      TK_ID                   
~~~~                     48       ~~~~                     ~~~~             ASSIGNMENT_STMT          no       SINGLE_OR_REC_ID        
~~~~                     48       ~~~~                     ~~~~             STMT                     no       ASSIGNMENT_STMT         
<---                     48       TK_ASSIGNOP              ~~~~             ASSIGNMENT_STMT          yes      TK_ASSIGNOP             
c4d5                     48       TK_ID                    ~~~~             SINGLE_OR_REC_ID         yes      TK_ID                   
~~~~                     48       ~~~~                     ~~~~             VAR                      no       SINGLE_OR_REC_ID        
~~~~                     48       ~~~~                     ~~~~             FACTOR                   no       VAR                     
~~~~                     48       ~~~~                     ~~~~             TERM                     no       FACTOR                  
~~~~                     48       ~~~~                     ~~~~             ARITHMETIC_EXPRESSION    no       TERM                    
~~~~                     48       ~~~~                     ~~~~             ASSIGNMENT_STMT          no       ARITHMETIC_EXPRESSION   
+                        48       TK_PLUS                  ~~~~             LOW_PRECEDENCE_OPERATORS yes      TK_PLUS                 
~~~~                     48       ~~~~                     ~~~~             EXP_PRIME                no       LOW_PRECEDENCE_OPERATORS
~~~~                     48       ~~~~                     ~~~~             ARITHMETIC_EXPRESSION    no       EXP_PRIME               
;                        48       TK_SEM                   ~~~~             ASSIGNMENT_STMT          yes      TK_SEM                  
~~~~                     48       ~~~~                     ~~~~             OTHER_STMTS              no       STMT                    
